"Variants of the population projection
Länder",2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31,2031-12-31,2032-12-31,2033-12-31,2034-12-31,2035-12-31,2036-12-31,2037-12-31,2038-12-31,2039-12-31,2040-12-31,2041-12-31,2042-12-31,2043-12-31,2044-12-31,2045-12-31,2046-12-31,2047-12-31,2048-12-31,2049-12-31,2050-12-31,2051-12-31,2052-12-31,2053-12-31,2054-12-31,2055-12-31,2056-12-31,2057-12-31,2058-12-31,2059-12-31,2060-12-31,2061-12-31,2062-12-31,2063-12-31,2064-12-31,2065-12-31,2066-12-31,2067-12-31,2068-12-31,2069-12-31,2070-12-31
"BEV-VARIANTE-01 Mod. birth rate a. life exp.,low mig.bal. (G2L2W1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,11250.9,11265.4,11279.5,11292,11302.1,11309,11312.9,11313.9,11312,11307.3,11299.7,11289.2,11277.6,11264.9,11251,11235.9,11219.6,11201.8,11182.6,11162.1,11140.1,11116.8,11092.2,11066.6,11040,11012.4,10984,10954.9,10925.2,10894.7,10863.5,10831.8,10799.8,10767.6,10735.4,10703.4,10671.9,10640.9,10610.7,10581.3,10552.8,10525.1,10498.1,10471.9,10446,10420.6,10395.2,10369.7,10344.1
Bayern,13346.6,13375.5,13403.6,13429.4,13451.9,13470.2,13484.4,13494.7,13501,13503.3,13501.3,13495,13486.7,13476.3,13463.9,13449.5,13433.1,13414.8,13394.4,13372.2,13348.3,13322.6,13295.4,13266.8,13236.9,13205.9,13173.7,13140.5,13106.3,13071.5,13035.9,13000,12963.7,12927.3,12891.1,12855.3,12820.1,12785.6,12752.1,12719.5,12687.9,12657.3,12627.4,12598.2,12569.4,12540.9,12512.3,12483.6,12454.6
Berlin,3754.7,3766.1,3777.1,3787.6,3797.2,3805.7,3813.2,3819.8,3825.5,3830.4,3834.1,3836.7,3839.3,3841.9,3844.6,3847.5,3850.5,3853.6,3856.8,3860,3863.3,3866.6,3869.8,3873,3876,3878.8,3881.6,3884.1,3886.5,3888.4,3889.8,3890.7,3891.2,3891.3,3891,3890.5,3889.7,3888.7,3887.6,3886.4,3885.1,3883.7,3882.2,3880.5,3878.7,3876.6,3874.2,3871.4,3868.2
Brandenburg,2558.6,2561.3,2563.4,2564.5,2564.5,2563.3,2560.9,2557.6,2553.3,2548.2,2542.2,2535.6,2528.4,2520.9,2513,2504.6,2495.8,2486.4,2476.6,2466.3,2455.5,2444.2,2432.4,2420.2,2407.5,2394.4,2380.8,2366.9,2352.6,2338.3,2324.1,2310,2296.2,2282.6,2269.4,2256.6,2244.1,2232.2,2220.7,2209.6,2198.9,2188.6,2178.7,2169,2159.5,2150.1,2140.8,2131.6,2122.3
Bremen,685,684.2,683.4,682.6,681.8,680.8,679.7,678.6,677.4,676.2,674.8,673.4,672.1,670.8,669.6,668.5,667.4,666.4,665.4,664.5,663.6,662.7,661.8,660.9,660.1,659.3,658.5,657.8,657,656.3,655.4,654.6,653.7,652.8,651.9,651,650.1,649.1,648.3,647.4,646.6,645.8,645,644.3,643.6,642.9,642.3,641.6,641
Hamburg,1875.1,1878.4,1881.7,1884.8,1887.6,1890.1,1892.1,1893.9,1895.3,1896.5,1897.2,1897.6,1898,1898.3,1898.7,1899.1,1899.5,1899.9,1900.3,1900.7,1901.1,1901.4,1901.7,1901.8,1901.8,1901.7,1901.4,1900.9,1900.2,1899.3,1898,1896.4,1894.6,1892.4,1890.1,1887.4,1884.7,1881.8,1878.7,1875.6,1872.5,1869.3,1866.2,1863,1859.7,1856.4,1853.1,1849.7,1846.2
Hessen,6363.1,6365.2,6367.4,6368.9,6369.1,6367.7,6364.9,6360.6,6354.8,6347.6,6338.8,6328.5,6317.7,6306.5,6294.8,6282.7,6270.2,6257.2,6243.7,6229.7,6215.2,6200.3,6185,6169.4,6153.3,6136.9,6120.1,6102.9,6085.5,6067.6,6049.4,6030.8,6012.1,5993.3,5974.5,5955.8,5937.3,5919.1,5901.4,5884.2,5867.5,5851.3,5835.5,5820.3,5805.4,5790.7,5776.3,5761.9,5747.6
Mecklenburg-Vorpommern,1619.4,1615.1,1610.7,1605.9,1600.7,1595,1588.8,1582.3,1575.4,1568.2,1560.7,1552.9,1545,1537,1528.8,1520.5,1512,1503.4,1494.5,1485.3,1475.9,1466.3,1456.4,1446.3,1436,1425.6,1415,1404.3,1393.5,1382.8,1372.2,1361.8,1351.7,1341.7,1332.1,1322.8,1313.8,1305.2,1297,1289,1281.5,1274.2,1267.2,1260.4,1253.8,1247.4,1241.1,1234.9,1228.7
Niedersachsen,8122.3,8124.3,8126.1,8126.7,8125.7,8122.4,8117,8109.5,8100,8088.4,8074.7,8058.9,8042.6,8025.5,8007.8,7989.3,7970.1,7950.1,7929.2,7907.6,7885.2,7862.1,7838.5,7814.2,7789.5,7764.4,7738.9,7713.1,7687,7660.7,7634.2,7607.7,7581.3,7555.2,7529.6,7504.5,7480.1,7456.6,7434.2,7412.7,7392.4,7373.2,7355,7337.8,7321.3,7305.5,7290.2,7275.3,7260.5
Nordrhein-Westfalen,18046,18029.4,18014.4,17999,17981.7,17961.3,17938,17911.8,17882.6,17850.3,17814.5,17775,17734.1,17691.7,17647.9,17602.5,17555.6,17507,17456.8,17405,17351.6,17296.8,17240.8,17183.6,17125.5,17066.6,17006.9,16946.5,16885.6,16824.2,16762.3,16700.3,16638.4,16576.8,16515.9,16455.9,16397.1,16339.9,16284.3,16230.5,16178.6,16128.5,16080.1,16033.2,15987.4,15942.6,15898.4,15854.5,15810.7
Rheinland-Pfalz,4149.7,4151.3,4153,4154.2,4154.7,4154,4152.2,4149.4,4145.3,4140.1,4133.6,4125.9,4117.5,4108.4,4098.7,4088.2,4077.1,4065.3,4052.8,4039.7,4026.1,4012.1,3997.7,3982.9,3968,3952.8,3937.5,3922.1,3906.6,3891.1,3875.7,3860.3,3845.2,3830.3,3815.8,3801.6,3787.9,3774.6,3761.9,3749.8,3738.1,3726.9,3716.2,3705.8,3695.8,3685.9,3676.1,3666.5,3656.8
Saarland,987,982.7,978.5,974.4,970.3,966.1,961.7,957.2,952.6,947.9,943,937.9,932.8,927.6,922.4,917.1,911.8,906.4,901,895.5,889.9,884.4,878.8,873.1,867.5,862,856.4,851,845.6,840.2,835,829.9,824.9,820.1,815.4,810.9,806.6,802.5,798.5,794.7,791.1,787.7,784.4,781.2,778.1,775.1,772.2,769.3,766.4
